Date,Open,High,Low,Close,Adj Close,Volume
2025-07-08,159.33,160.22,158.39,160.0,160.0,138133025
2025-07-09,161.22,164.42,161.16,162.88,162.88,183656443
2025-07-10,164.32,164.5,161.61,164.1,164.1,167704100
2025-07-11,163.72,167.89,163.47,164.92,164.92,193633300
2025-07-14,165.37,165.49,162.02,164.07,164.07,136975800
2025-07-15,171.19,172.4,169.2,170.7,170.7,230627400
2025-07-16,171.06,171.75,168.9,171.37,171.37,158831509
2025-07-17,172.02,174.16,170.83,173.0,173.0,160841119
2025-07-18,173.64,174.25,171.26,172.41,172.41,146456416
2025-07-21,172.75,173.38,171.0,171.38,171.38,123126136
2025-07-22,171.34,171.39,164.58,167.03,167.03,193114327
2025-07-23,169.53,171.26,167.97,170.78,170.78,154082200
2025-07-24,172.44,173.83,171.3,173.74,173.74,128984628
2025-07-25,173.61,174.72,172.96,173.5,173.5,122316800
2025-07-28,174.02,177.0,173.97,176.75,176.75,140023521
2025-07-29,177.96,179.38,175.02,175.51,175.51,154077512
2025-07-30,176.51,179.89,176.04,179.27,179.27,174312208
2025-07-31,182.9,183.3,175.93,177.87,177.87,221685446
2025-08-01,174.09,176.54,170.89,173.72,173.72,204529000
2025-08-04,175.16,180.2,174.52,180.0,180.0,148174609
2025-08-05,179.62,180.26,175.9,178.26,178.26,156407621
2025-08-06,176.33,179.9,176.25,179.42,179.42,137192300
2025-08-07,181.57,183.88,178.8,180.77,180.77,151878400
2025-08-08,181.55,183.3,180.4,182.7,182.7,123396700
2025-08-11,182.05,183.84,180.25,182.06,182.06,138323200
2025-08-12,182.96,184.48,179.46,183.16,183.16,145729202
2025-08-13,182.62,183.97,179.35,181.59,181.59,179871724
2025-08-14,179.75,183.02,179.46,182.02,182.02,129554000
2025-08-15,181.88,181.9,178.04,180.45,180.45,156602161
