datetime,forecast_mean,forecast_lower,forecast_upper,confidence_interval
2025-09-05 20:30:00+00:00,228.02872,227.98926,228.06818,0.07891846
2025-09-05 21:30:00+00:00,228.02812,227.98866,228.06758,0.07891846
2025-09-05 22:30:00+00:00,228.02756,227.9881,228.06702,0.07891846
2025-09-05 23:30:00+00:00,228.02704,227.98758,228.0665,0.07891846
2025-09-06 00:30:00+00:00,228.02655,227.98709,228.06601,0.07891846
2025-09-06 01:30:00+00:00,228.02611,227.98665,228.06557,0.07891846
2025-09-06 02:30:00+00:00,228.0257,227.98624,228.06516,0.07891846
2025-09-06 03:30:00+00:00,228.02528,227.98582,228.06474,0.07891846
2025-09-06 04:30:00+00:00,228.02492,227.98546,228.06438,0.07891846
2025-09-06 05:30:00+00:00,228.02457,227.9851,228.06403,0.07891846
2025-09-06 06:30:00+00:00,228.02426,227.9848,228.06372,0.07891846
2025-09-06 07:30:00+00:00,228.02394,227.98448,228.0634,0.07891846
2025-09-06 08:30:00+00:00,228.02368,227.98422,228.06314,0.07891846
2025-09-06 09:30:00+00:00,228.0234,227.98395,228.06287,0.07891846
2025-09-06 10:30:00+00:00,228.02318,227.98372,228.06264,0.07891846
2025-09-06 11:30:00+00:00,228.02295,227.98349,228.06241,0.07891846
2025-09-06 12:30:00+00:00,228.02272,227.98326,228.06218,0.07891846
2025-09-06 13:30:00+00:00,228.02254,227.98308,228.062,0.07891846
2025-09-06 14:30:00+00:00,228.02234,227.98288,228.0618,0.07891846
2025-09-06 15:30:00+00:00,228.02217,227.98271,228.06163,0.07891846
2025-09-06 16:30:00+00:00,228.022,227.98254,228.06146,0.07891846
2025-09-06 17:30:00+00:00,228.02187,227.9824,228.06133,0.07891846
2025-09-06 18:30:00+00:00,228.02171,227.98225,228.06117,0.07891846
2025-09-06 19:30:00+00:00,228.02158,227.98212,228.06104,0.07891846
2025-09-06 20:30:00+00:00,228.02147,227.98201,228.06093,0.07891846
2025-09-06 21:30:00+00:00,228.02135,227.98189,228.0608,0.07891846
2025-09-06 22:30:00+00:00,228.02126,227.9818,228.06071,0.07891846
2025-09-06 23:30:00+00:00,228.02113,227.98167,228.0606,0.07891846
2025-09-07 00:30:00+00:00,228.02104,227.98158,228.0605,0.07891846
2025-09-07 01:30:00+00:00,228.02095,227.98149,228.06041,0.07891846
2025-09-07 02:30:00+00:00,228.02087,227.98141,228.06033,0.07891846
2025-09-07 03:30:00+00:00,228.0208,227.98134,228.06026,0.07891846
2025-09-07 04:30:00+00:00,228.02072,227.98126,228.06018,0.07891846
2025-09-07 05:30:00+00:00,228.02066,227.9812,228.06012,0.07891846
2025-09-07 06:30:00+00:00,228.0206,227.98114,228.06006,0.07891846
2025-09-07 07:30:00+00:00,228.02054,227.98108,228.06,0.07891846
2025-09-07 08:30:00+00:00,228.0205,227.98103,228.05995,0.07891846
2025-09-07 09:30:00+00:00,228.02043,227.98097,228.05989,0.07891846
2025-09-07 10:30:00+00:00,228.02039,227.98093,228.05984,0.07891846
2025-09-07 11:30:00+00:00,228.02034,227.98088,228.0598,0.07891846
2025-09-07 12:30:00+00:00,228.02031,227.98085,228.05977,0.07891846
2025-09-07 13:30:00+00:00,228.02026,227.9808,228.05972,0.07891846
2025-09-07 14:30:00+00:00,228.02023,227.98077,228.0597,0.07891846
2025-09-07 15:30:00+00:00,228.02019,227.98073,228.05965,0.07891846
2025-09-07 16:30:00+00:00,228.02016,227.9807,228.05962,0.07891846
2025-09-07 17:30:00+00:00,228.02013,227.98067,228.05959,0.07891846
2025-09-07 18:30:00+00:00,228.0201,227.98064,228.05956,0.07891846
2025-09-07 19:30:00+00:00,228.02008,227.98062,228.05954,0.07891846
2025-09-07 20:30:00+00:00,228.02005,227.98059,228.05951,0.07891846
2025-09-07 21:30:00+00:00,228.02003,227.98058,228.0595,0.07891846
2025-09-07 22:30:00+00:00,228.02,227.98055,228.05946,0.07891846
2025-09-07 23:30:00+00:00,228.01999,227.98053,228.05945,0.07891846
2025-09-08 00:30:00+00:00,228.01997,227.98051,228.05943,0.07891846
2025-09-08 01:30:00+00:00,228.01997,227.98051,228.05943,0.07891846
2025-09-08 02:30:00+00:00,228.01996,227.9805,228.05942,0.07891846
2025-09-08 03:30:00+00:00,228.01993,227.98047,228.05939,0.07891846
2025-09-08 04:30:00+00:00,228.01993,227.98047,228.05939,0.07891846
2025-09-08 05:30:00+00:00,228.01991,227.98045,228.05937,0.07891846
2025-09-08 06:30:00+00:00,228.0199,227.98044,228.05936,0.07891846
2025-09-08 07:30:00+00:00,228.01988,227.98042,228.05934,0.07891846
2025-09-08 08:30:00+00:00,228.01988,227.98042,228.05934,0.07891846
2025-09-08 09:30:00+00:00,228.01987,227.98041,228.05933,0.07891846
2025-09-08 10:30:00+00:00,228.01985,227.9804,228.05931,0.07891846
2025-09-08 11:30:00+00:00,228.01985,227.9804,228.05931,0.07891846
2025-09-08 12:30:00+00:00,228.01984,227.98038,228.0593,0.07891846
2025-09-08 13:30:00+00:00,228.01984,227.98038,228.0593,0.07891846
2025-09-08 14:30:00+00:00,228.01982,227.98036,228.05928,0.07891846
2025-09-08 15:30:00+00:00,228.01982,227.98036,228.05928,0.07891846
2025-09-08 16:30:00+00:00,228.01982,227.98036,228.05928,0.07891846
2025-09-08 17:30:00+00:00,228.0198,227.98035,228.05927,0.07891846
2025-09-08 18:30:00+00:00,228.0198,227.98035,228.05927,0.07891846
2025-09-08 19:30:00+00:00,228.01979,227.98033,228.05925,0.07891846
2025-09-08 20:30:00+00:00,228.01979,227.98033,228.05925,0.07891846
2025-09-08 21:30:00+00:00,228.01979,227.98033,228.05925,0.07891846
2025-09-08 22:30:00+00:00,228.01978,227.98032,228.05923,0.07891846
2025-09-08 23:30:00+00:00,228.01978,227.98032,228.05923,0.07891846
2025-09-09 00:30:00+00:00,228.01978,227.98032,228.05923,0.07891846
2025-09-09 01:30:00+00:00,228.01978,227.98032,228.05923,0.07891846
2025-09-09 02:30:00+00:00,228.01978,227.98032,228.05923,0.07891846
2025-09-09 03:30:00+00:00,228.01978,227.98032,228.05923,0.07891846
2025-09-09 04:30:00+00:00,228.01976,227.9803,228.05922,0.07891846
2025-09-09 05:30:00+00:00,228.01976,227.9803,228.05922,0.07891846
2025-09-09 06:30:00+00:00,228.01976,227.9803,228.05922,0.07891846
2025-09-09 07:30:00+00:00,228.01976,227.9803,228.05922,0.07891846
2025-09-09 08:30:00+00:00,228.01976,227.9803,228.05922,0.07891846
2025-09-09 09:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 10:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 11:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 12:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 13:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 14:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 15:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 16:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 17:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 18:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 19:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 20:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 21:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 22:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-09 23:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 00:30:00+00:00,228.01974,227.98029,228.0592,0.07891846
2025-09-10 01:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 02:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 03:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 04:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 05:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 06:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 07:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 08:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 09:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 10:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 11:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 12:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 13:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 14:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 15:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 16:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 17:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 18:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 19:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 20:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 21:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 22:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-10 23:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 00:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 01:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 02:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 03:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 04:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 05:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 06:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 07:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 08:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 09:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 10:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 11:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 12:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 13:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 14:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 15:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 16:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 17:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 18:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 19:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 20:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 21:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 22:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-11 23:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 00:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 01:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 02:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 03:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 04:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 05:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 06:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 07:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 08:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 09:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 10:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 11:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
2025-09-12 12:30:00+00:00,228.01973,227.98027,228.05919,0.07891846
